foldername,model_name,region,start_time_ka,end_time_ka,ice_model_used,model_type,ref,DOI,download_link
SL_austermann2022,ICE7G_PC,global,118,0,"DEGLACIATION-- Roy and Peltier, (2018); MIS53 to LGM -- Pico et al., 2016",1D_spherical,"Austermann, J., Wickert, A.D., Pico, T., Kingslake, J., Callaghan, K.L. and Creel, R.C., 2022. Glacial isostatic adjustment shapes proglacial lakes over glacial cycles. Geophysical Research Letters, 49(24), p.e2022GL101191.",https://doi.org/10.1029/2022GL101191,https://zenodo.org/records/7378941
SL_austermann2022,LAM_PC,global,118,0,"DEGLACIATION--Laurentide: Lambeck et al., (2017); Fennoscandian: Lambeck et al., (2006) and Lambeck et al., (2010); British-Irish ice sheet Lambeck et al., (1995) and Lambeck (1996); all other ice sheets Peltier et al., (2015)",1D_spherical,"Austermann, J., Wickert, A.D., Pico, T., Kingslake, J., Callaghan, K.L. and Creel, R.C., 2022. Glacial isostatic adjustment shapes proglacial lakes over glacial cycles. Geophysical Research Letters, 49(24), p.e2022GL101191.",https://doi.org/10.1029/2022GL101192,https://zenodo.org/records/7378941
SL_austermann2022,LAM_PC_nolake,global,118,0,"DEGLACIATION--Laurentide: Lambeck et al., (2017); Fennoscandian: Lambeck et al., (2006) and Lambeck et al., (2010); British-Irish ice sheet Lambeck et al., (1995) and Lambeck (1996); all other ice sheets Peltier et al., (2015)",1D_spherical,"Austermann, J., Wickert, A.D., Pico, T., Kingslake, J., Callaghan, K.L. and Creel, R.C., 2022. Glacial isostatic adjustment shapes proglacial lakes over glacial cycles. Geophysical Research Letters, 49(24), p.e2022GL101191.",https://doi.org/10.1029/2022GL101193,https://zenodo.org/records/7378941
SL_austermann2022,LAM_ST,global,118,0,"DEGLACIATION--Laurentide: Lambeck et al., (2017); Fennoscandian: Lambeck et al., (2006) and Lambeck et al., (2010); British-Irish ice sheet Lambeck et al., (1995) and Lambeck (1996); all other ice sheets Peltier et al., (2015)",1D_spherical,"Austermann, J., Wickert, A.D., Pico, T., Kingslake, J., Callaghan, K.L. and Creel, R.C., 2022. Glacial isostatic adjustment shapes proglacial lakes over glacial cycles. Geophysical Research Letters, 49(24), p.e2022GL101191.",https://doi.org/10.1029/2022GL101194,https://zenodo.org/records/7378941
SL_austermann2022,LAM_W,global,118,0,"DEGLACIATION--Laurentide: Lambeck et al., (2017); Fennoscandian: Lambeck et al., (2006) and Lambeck et al., (2010); British-Irish ice sheet Lambeck et al., (1995) and Lambeck (1996); all other ice sheets Peltier et al., (2015)",1D_spherical,"Austermann, J., Wickert, A.D., Pico, T., Kingslake, J., Callaghan, K.L. and Creel, R.C., 2022. Glacial isostatic adjustment shapes proglacial lakes over glacial cycles. Geophysical Research Letters, 49(24), p.e2022GL101191.",https://doi.org/10.1029/2022GL101195,https://zenodo.org/records/7378941
SL_barnett2023,n/a,global,150,100,"complicated -- see methods of reference, but an attempt to summarize below: deglaciation -- ICE-6G; From 400 ka to deglaciation, GMSL based on Waelbroeck (at each time assign the icegeometry from the degla ciation that corresponds to the same GMSL value); LIG -- GMSL set to 0; Eurasian ice sheet -- Peltier et al., 2015, Colleoni et al., 2016, Lambeck et al., 2006, Lambeck et al., 2006 with EIS GMSLE of 32, 40, and 47 m. Following the deglacial geometry of GLAC-1D (Tarasov et al., 2014) ",1D_spherical,"Barnett, R.L., Austermann, J., Dyer, B., Telfer, M.W., Barlow, N.L., Boulton, S.J., Carr, A.S. and Creel, R.C., 2023. Constraining the contribution of the Antarctic Ice Sheet to Last Interglacial sea level. Science Advances, 9(27), p.eadf0198.",https://doi.org/10.1126/sciadv.adf0198,https://zenodo.org/records/7963221
SL_austermann2021,n/a,global,128,117,"two base Earth Structure with 3D perterbations added to them, one following VM5, another with upper mantle of 0.5e21 ",3D_spherical,"Austermann, J., Hoggard, M.J., Latychev, K., Richards, F.D. and Mitrovica, J.X., 2021. The effect of lateral variations in Earth structure on Last Interglacial sea level. Geophysical Journal International, 227(3), pp.1938-1960.",https://doi.org/10.1093/gji/ggab289,https://osf.io/m9qcz/
SL_dyer2021,n/a,global,400,0,,1D_spherical,"Dyer, B., Austermann, J., D’Andrea, W.J., Creel, R.C., Sandstrom, M.R., Cashman, M., Rovere, A. and Raymo, M.E., 2021. Sea-level trends across The Bahamas constrain peak last interglacial ice melt. Proceedings of the National Academy of Sciences, 118(33), p.e2026839118.",https://doi.org/10.1073/pnas.2026839118,https://zenodo.org/records/4908080
SL_pollard2024,n/a,global,130,115,within penultimate glacial maximum and last integlacial; ensemble of potential Eurasian ice sheet histories,1D_spherical,"Pollard, O.G., Barlow, N.L., Gregoire, L.J. and Gomez, N., 2024. Relative sea-level sensitivity in the Eurasian region to Earth and ice-sheet model uncertainty during the Last Interglacial. Quaternary Science Reviews, 343, p.108908.",https://doi.org/10.1016/j.quascirev.2024.108908,https://doi.org/10.5281/zenodo.10687144
SL_creelaustermann2024,n/a,global,140,105,ice models as dyer2021 save with Laurentide disappearance delayed until ~122 ka and Antarctic collapse in the early Last Interglacial,1D_spherical,"Creel, R.C., Austermann, J., 2024. Glacial isostatic adjustment driven by asymmetric ice sheet melt during the Last Interglacial causes multiple local sea-level peaks. Geology. https://doi.org/10.1130/G52483.1",https://doi.org/10.1130/G52483.1,http://arcticdata.io/data/10.18739/A2S756N0M
SL_creel2024,n/a,global,400,0,,1D_spherical,"Creel, R.C., Miesner, F., Wilkenskjeld, S., Austermann, J., Overduin, P.P., 2024. Glacial isostatic adjustment reduces past and future Arctic subsea permafrost. Nat Commun 15, 3232. https://doi.org/10.1038/s41467-024-45906-8",https://doi.org/10.1038/s41467-024-45906-8,https://zenodo.org/records/10499330
